ano,continente,n
2010,Africa,1
2010,Americas,1
2010,Asia,0
2010,Europe,0
2011,Africa,0
2011,Americas,1
2011,Asia,0
2011,Europe,1
2012,Africa,2
2012,Americas,1
2012,Asia,2
2012,Europe,2
2013,Africa,1
2013,Americas,0
2013,Asia,0
2013,Europe,4
2014,Africa,0
2014,Americas,2
2014,Asia,0
2014,Europe,0
2015,Africa,0
2015,Americas,1
2015,Asia,2
2015,Europe,2
2016,Africa,0
2016,Americas,0
2016,Asia,2
2016,Europe,0
2017,Africa,1
2017,Americas,0
2017,Asia,1
2017,Europe,1
2018,Africa,1
2018,Americas,1
2018,Asia,5
2018,Europe,11
2019,Africa,1
2019,Americas,0
2019,Asia,1
2019,Europe,7
2020,Africa,0
2020,Americas,2
2020,Asia,7
2020,Europe,7
2021,Africa,1
2021,Americas,3
2021,Asia,5
2021,Europe,2
2022,Africa,2
2022,Americas,5
2022,Asia,3
2022,Europe,8
2023,Africa,1
2023,Americas,3
2023,Asia,2
2023,Europe,5
2024,Africa,1
2024,Americas,4
2024,Asia,4
2024,Europe,9
2025,Africa,0
2025,Americas,5
2025,Asia,6
2025,Europe,8
