indicador,n_sim,percentual,gap
DOI disponível,144,97.2972972972973,2.7027027027026946
Formato padrão,67,45.27027027027027,54.72972972972973
Documentação completa,40,27.027027027027028,72.97297297297297
Dados suplementares,31,20.945945945945947,79.05405405405405
Blockchain,26,17.56756756756757,82.43243243243244
Licença clara,24,16.216216216216218,83.78378378378378
Código disponível,22,14.864864864864865,85.13513513513513
Metadados ricos,21,14.18918918918919,85.8108108108108
Vocabulário controlado,18,12.162162162162163,87.83783783783784
Dados em repositório,15,10.135135135135135,89.86486486486487
API disponível,3,2.027027027027027,97.97297297297297
