"Dim 1","Dim 2","Dim 3","Dim 4","Dim 5","Categoria"
-0.769022109732137,3.40863778632199,-0.924939758041166,0.962529098552124,0.228232791494091,"Algoritmo_DecisionTree"
-1.16267608713767,-2.49979847182374,-1.23243451113607,-0.0597990151628421,3.47492392198377,"Algoritmo_GradientBoosting"
-0.348268913607367,-0.156524149396696,-0.765242523098484,4.46281658003775,1.96968480341904,"Algoritmo_KNN"
0.659820840069742,0.0702620045674531,0.215327328225752,-0.150169482139309,0.0852627303876943,"Algoritmo_NeuralNetwork"
-0.383624591213535,0.238575740371243,0.679541479749966,-0.268958917159531,0.178202646959595,"Algoritmo_Outros"
0.030813364135287,-0.153841827807111,-0.679723593668149,0.139313405075525,-0.0593701047834519,"Algoritmo_RandomForest"
-0.121925847341798,-0.61371234627432,-0.488855713662677,0.00830183713157989,-0.65171830219756,"Algoritmo_SVM"
0.551912687545674,-0.359893388588003,0.287067062068168,-1.19830996014231,-1.53512647578222,"Instrumento_FTIR"
0.216568848858849,-0.241367423155007,-0.395054120183827,0.165968083409871,-0.741601465457665,"Instrumento_GC-MS"
-0.243859397307587,1.03519384360373,-0.542217953035255,2.66931205912582,0.56962002350587,"Instrumento_ICP-MS"
1.13623836917948,2.01342014359347,-1.70605856571523,-0.820295924740501,1.08045864321771,"Instrumento_LC-MS"
0.903093276761189,0.00753905281720505,-0.0811615370473225,0.258058310230012,-0.687301868819676,"Instrumento_NIR"
-0.951505417431401,1.7367607258613,0.806013421400676,-0.116284265494358,0.0460526613273009,"Instrumento_NMR"
-0.331474734191692,-0.310710731409701,0.166051366242381,-0.13466049308327,0.299855444370957,"Instrumento_Outros"
0.418678516128529,-1.033833358521,-0.00440348529644617,-0.0361527357840591,-0.46598899358665,"Instrumento_Sensor"
3.89936253940899,0.668085113141103,0.076557763415233,-0.979860250844767,1.85293923754538,"Produto_Cheese"
-2.12746404019196,2.29478652070388,1.76947044220622,-1.58020658855259,1.08544445779947,"Produto_Coffee"
0.355439669527897,-0.100940068945513,-0.475500021518306,0.620471466724374,-0.658197940434337,"Produto_Honey"
0.365336522298693,2.49714046439588,-0.912443278848091,0.110059999970468,-0.830588307279774,"Produto_Meat"
0.738132908890034,0.0858809176681886,1.31562602024881,0.600036010627972,-1.19693731176303,"Produto_Olive"
-0.258242936694065,-0.118730433044307,-0.127851826916346,-0.0685726577412322,0.0259824272483302,"Produto_Outros"
0.082752430518103,-1.19073657694323,-0.0121973552288167,0.574399436647548,0.822689614903272,"Produto_Tea"
-0.579977623169522,0.484187186376104,0.678492648427728,-0.684987296204354,-0.0744178853384388,"Produto_Wine"
-0.0942177355443203,0.638303056360863,-0.0744343329716227,1.02504316780256,-0.237954245181226,"Aplicacao_Authentication"
0.73587941110871,-0.303982079153356,-0.2529115951317,-0.31731139934992,-0.485252997524805,"Aplicacao_Classification"
-0.67733475756184,-0.129133632549881,0.13699445538362,-0.502007573756655,0.579413486396251,"Aplicacao_OriginDetection"
-1.21472364444032,0.204729373374214,0.675181772427017,-0.982713475113124,0.56844381783665,"Aplicacao_Outros"
0.535304701889383,-1.17038627544509,3.50924990996783,1.35215809028061,1.86019912459822,"Aplicacao_QualityControl"
5.44084631348175,2.56360840920023,-2.42600966276635,-3.28159796853107,4.53825446091408,"Americas"
-0.160517359831048,-0.856669001066155,-0.971030556158033,0.0327086620086742,0.215194712193711,"Asia"
0.780975876700633,-0.241721782365274,1.04834257390039,1.10102942495813,0.632146888547981,"Europe"
-0.17248645331937,0.33957585895536,0.179382007908351,-0.198486026351307,-0.271340926380512,"Global"
1.19972612193263,-0.141594510458902,1.16323944265312,0.195526693593914,0.135475103104646,"2010-2014"
0.0628620411387171,-0.202652245946219,0.992158222820361,-0.217574566232795,-1.04839630430668,"2015-2019"
-0.237090985609714,0.0508284669539214,-0.338851600199789,-0.0119804282566989,0.0967426328881896,"2020-2025"
