"ID","Algoritmo","Instrumento","Produto","Aplicacao","Regiao","Periodo"
1,"NeuralNetwork","ICP-MS","Outros","Authentication","Europe","2010-2014"
2,"SVM","Outros","Olive","Authentication","Global","2015-2019"
3,"SVM","GC-MS","Outros","Authentication","Global","2020-2025"
4,"RandomForest","NIR","Honey","Authentication","Europe","2020-2025"
5,"DecisionTree","LC-MS","Meat","Authentication","Global","2020-2025"
6,"KNN","Outros","Tea","Authentication","Europe","2020-2025"
7,"Outros","LC-MS","Honey","Authentication","Global","2020-2025"
8,"NeuralNetwork","NIR","Honey","Authentication","Global","2010-2014"
9,"RandomForest","Outros","Wine","OriginDetection","Global","2020-2025"
10,"Outros","NMR","Meat","Authentication","Global","2020-2025"
11,"SVM","Outros","Honey","Authentication","Europe","2020-2025"
12,"SVM","NIR","Outros","Classification","Asia","2020-2025"
13,"RandomForest","GC-MS","Honey","Classification","Asia","2020-2025"
14,"RandomForest","Outros","Cheese","Classification","Europe","2010-2014"
15,"RandomForest","Outros","Wine","OriginDetection","Global","2020-2025"
16,"Outros","Outros","Outros","Authentication","Global","2020-2025"
17,"RandomForest","NIR","Outros","Classification","Global","2020-2025"
18,"NeuralNetwork","GC-MS","Meat","Authentication","Global","2020-2025"
19,"SVM","NIR","Outros","Authentication","Global","2020-2025"
20,"Outros","Outros","Outros","Authentication","Global","2020-2025"
21,"RandomForest","NMR","Olive","Authentication","Global","2020-2025"
22,"RandomForest","LC-MS","Meat","Classification","Global","2020-2025"
23,"SVM","Sensor","Tea","Classification","Asia","2020-2025"
24,"Outros","Outros","Wine","Authentication","Global","2015-2019"
25,"NeuralNetwork","Outros","Outros","OriginDetection","Global","2020-2025"
26,"NeuralNetwork","Outros","Outros","Authentication","Asia","2020-2025"
27,"NeuralNetwork","GC-MS","Olive","Classification","Europe","2010-2014"
28,"NeuralNetwork","NIR","Outros","Authentication","Global","2020-2025"
29,"SVM","NIR","Honey","Authentication","Global","2020-2025"
30,"SVM","Outros","Outros","Authentication","Asia","2015-2019"
31,"Outros","Outros","Wine","OriginDetection","Global","2020-2025"
32,"RandomForest","GC-MS","Outros","Classification","Asia","2020-2025"
33,"RandomForest","Outros","Honey","Classification","Asia","2020-2025"
34,"RandomForest","ICP-MS","Outros","Authentication","Global","2020-2025"
35,"Outros","NIR","Tea","Classification","Global","2010-2014"
36,"SVM","Outros","Outros","Classification","Global","2020-2025"
37,"NeuralNetwork","Outros","Olive","Authentication","Europe","2020-2025"
38,"NeuralNetwork","NIR","Cheese","Classification","Europe","2010-2014"
39,"NeuralNetwork","Outros","Wine","Authentication","Global","2020-2025"
40,"SVM","GC-MS","Outros","Classification","Asia","2020-2025"
41,"Outros","NMR","Wine","Authentication","Global","2020-2025"
42,"RandomForest","NIR","Outros","Classification","Global","2020-2025"
43,"DecisionTree","ICP-MS","Outros","Authentication","Global","2020-2025"
44,"NeuralNetwork","NIR","Meat","Classification","Global","2015-2019"
45,"DecisionTree","NMR","Wine","OriginDetection","Global","2020-2025"
46,"RandomForest","Outros","Outros","OriginDetection","Global","2020-2025"
47,"NeuralNetwork","NIR","Outros","Classification","Asia","2020-2025"
48,"SVM","Outros","Wine","OriginDetection","Europe","2020-2025"
49,"Outros","ICP-MS","Outros","Classification","Global","2020-2025"
50,"SVM","NMR","Outros","OriginDetection","Global","2020-2025"
51,"Outros","FTIR","Outros","Classification","Global","2015-2019"
52,"Outros","LC-MS","Outros","OriginDetection","Asia","2020-2025"
53,"Outros","Outros","Wine","Classification","Global","2020-2025"
54,"SVM","Outros","Tea","Classification","Asia","2015-2019"
55,"NeuralNetwork","Sensor","Tea","Classification","Global","2010-2014"
56,"NeuralNetwork","NIR","Cheese","Classification","Global","2010-2014"
57,"SVM","Outros","Outros","Classification","Asia","2020-2025"
58,"RandomForest","Sensor","Tea","Classification","Asia","2020-2025"
59,"Outros","NMR","Outros","Authentication","Europe","2010-2014"
60,"NeuralNetwork","Outros","Olive","Classification","Global","2010-2014"
61,"RandomForest","Outros","Tea","Authentication","Global","2020-2025"
62,"RandomForest","GC-MS","Outros","Classification","Europe","2020-2025"
63,"SVM","Outros","Outros","OriginDetection","Asia","2020-2025"
64,"RandomForest","NIR","Honey","Authentication","Global","2020-2025"
65,"SVM","Sensor","Honey","Classification","Global","2020-2025"
66,"SVM","Outros","Tea","Authentication","Global","2020-2025"
67,"SVM","NIR","Honey","Classification","Asia","2020-2025"
68,"RandomForest","Outros","Wine","Classification","Global","2020-2025"
69,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
70,"NeuralNetwork","Sensor","Outros","OriginDetection","Europe","2020-2025"
71,"NeuralNetwork","Outros","Wine","Classification","Global","2015-2019"
72,"RandomForest","Outros","Outros","OriginDetection","Asia","2020-2025"
73,"Outros","NIR","Outros","Classification","Global","2010-2014"
74,"Outros","LC-MS","Outros","Classification","Asia","2020-2025"
75,"NeuralNetwork","NMR","Outros","OriginDetection","Global","2020-2025"
76,"SVM","Outros","Wine","OriginDetection","Global","2020-2025"
77,"NeuralNetwork","Outros","Outros","Authentication","Global","2020-2025"
78,"NeuralNetwork","Outros","Outros","OriginDetection","Global","2020-2025"
79,"NeuralNetwork","Outros","Outros","Classification","Global","2020-2025"
80,"SVM","FTIR","Outros","Classification","Asia","2020-2025"
81,"KNN","ICP-MS","Outros","Authentication","Asia","2020-2025"
82,"SVM","Outros","Outros","Classification","Global","2010-2014"
83,"NeuralNetwork","FTIR","Outros","Classification","Global","2020-2025"
84,"Outros","Outros","Honey","Authentication","Global","2020-2025"
85,"NeuralNetwork","Outros","Outros","OriginDetection","Global","2020-2025"
86,"Outros","NIR","Outros","OriginDetection","Europe","2020-2025"
87,"SVM","Outros","Outros","OriginDetection","Asia","2020-2025"
88,"Outros","NIR","Outros","OriginDetection","Global","2015-2019"
89,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
90,"NeuralNetwork","Outros","Tea","OriginDetection","Asia","2020-2025"
91,"RandomForest","Outros","Outros","OriginDetection","Asia","2020-2025"
92,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
93,"Outros","GC-MS","Tea","OriginDetection","Global","2020-2025"
94,"Outros","Outros","Outros","OriginDetection","Europe","2020-2025"
95,"SVM","Outros","Outros","Classification","Global","2020-2025"
96,"Outros","Sensor","Outros","OriginDetection","Global","2020-2025"
97,"Outros","Outros","Outros","QualityControl","Europe","2015-2019"
98,"Outros","NMR","Coffee","OriginDetection","Global","2020-2025"
99,"SVM","Outros","Outros","Classification","Global","2020-2025"
100,"NeuralNetwork","Outros","Outros","OriginDetection","Global","2020-2025"
101,"NeuralNetwork","Outros","Outros","Authentication","Asia","2020-2025"
102,"Outros","Outros","Honey","OriginDetection","Global","2010-2014"
103,"GradientBoosting","Outros","Tea","OriginDetection","Asia","2020-2025"
104,"NeuralNetwork","Outros","Outros","Classification","Global","2020-2025"
105,"Outros","GC-MS","Outros","Classification","Global","2020-2025"
106,"Outros","Outros","Honey","OriginDetection","Asia","2010-2014"
107,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
108,"NeuralNetwork","LC-MS","Cheese","Classification","Americas","2020-2025"
109,"RandomForest","Outros","Outros","OriginDetection","Asia","2020-2025"
110,"SVM","Outros","Outros","Classification","Global","2020-2025"
111,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
112,"Outros","Sensor","Olive","Classification","Global","2015-2019"
113,"NeuralNetwork","Outros","Outros","OriginDetection","Global","2010-2014"
114,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
115,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
116,"NeuralNetwork","Outros","Tea","OriginDetection","Asia","2020-2025"
117,"Outros","Outros","Outros","Outros","Global","2020-2025"
118,"Outros","Outros","Tea","QualityControl","Europe","2010-2014"
119,"NeuralNetwork","FTIR","Wine","Classification","Global","2010-2014"
120,"Outros","Outros","Wine","OriginDetection","Global","2010-2014"
121,"Outros","GC-MS","Outros","OriginDetection","Global","2015-2019"
122,"RandomForest","Outros","Outros","OriginDetection","Asia","2020-2025"
123,"NeuralNetwork","Outros","Outros","OriginDetection","Asia","2020-2025"
124,"Outros","Outros","Outros","Outros","Global","2010-2014"
125,"Outros","Outros","Outros","Outros","Global","2015-2019"
126,"Outros","Outros","Outros","Outros","Global","2020-2025"
127,"Outros","Outros","Outros","Outros","Global","2020-2025"
128,"Outros","Outros","Outros","Outros","Global","2020-2025"
129,"Outros","Outros","Outros","Outros","Global","2020-2025"
130,"Outros","Outros","Outros","Outros","Global","2020-2025"
131,"Outros","Outros","Outros","Outros","Global","2020-2025"
132,"Outros","Outros","Outros","Outros","Global","2020-2025"
133,"Outros","Outros","Outros","Outros","Global","2020-2025"
134,"Outros","Outros","Outros","Outros","Global","2010-2014"
135,"Outros","Outros","Outros","Outros","Global","2010-2014"
136,"Outros","Outros","Outros","Outros","Global","2020-2025"
137,"Outros","Outros","Outros","Outros","Global","2020-2025"
138,"Outros","Outros","Outros","Outros","Global","2020-2025"
139,"Outros","Outros","Outros","Outros","Global","2020-2025"
140,"Outros","Outros","Outros","Outros","Global","2020-2025"
141,"Outros","Outros","Outros","Outros","Global","2010-2014"
142,"Outros","Outros","Outros","Outros","Global","2020-2025"
143,"Outros","Outros","Outros","Outros","Global","2020-2025"
144,"Outros","Outros","Outros","Outros","Global","2020-2025"
145,"Outros","Outros","Outros","Outros","Global","2020-2025"
146,"Outros","LC-MS","Meat","Authentication","Global","2020-2025"
147,"Outros","Outros","Outros","Outros","Global","2020-2025"
148,"Outros","Outros","Outros","Outros","Global","2010-2014"
